Name,Column 16,Latitude,Longitude,Status,IUC,Race,State,Denomination,Expenditure,LT_Invest,Faculty_FT,Faculty_FTE,Enrollment_HC,Enrollment_FTE,MDiv Tuitition
Erskine Theological Seminary,,34.332291,-82.390327,ACCRED,C,W,SC,Associate Reformed Presbyterian Church,"1,284",0,5,9,118,40,"16,100"
George W. Truett Theological Seminary of Baylor University,,31.550379,-97.120079,ACCRED,U,W,TX,Baptist General Convention of Texas,"11,061",114.9,26,28,388,249,"20,700"
Stark Seminary of Stark College and Seminary,,27.714068,-97.319665,ASSOC,I,,TX,Baptist General Convention of Texas,"2,102",7.6,5,7,75,31,"8,400"
B. H. Carroll Theological Seminary at East Texas Baptist University,,32.734068,-97.106716,ACCRED,I,M,TX,Baptist,"2,035",0,2,2,99,45,"6,660"
Liberty Theological Seminary,,37.352612,-79.179062,ACCRED,U,W,VA,Baptist,"21,271",0,24,"1,509","6,168","4,568","5,799"
Samuel DeWitt Proctor School of Theology of Virginia Union University,,37.56004185,-77.45161327,ACCRED,C,B,VA,Baptist,"2,168",0,14,26,319,334,"12,924"
Bethel Seminary of Bethel University,"45.05805707696189, -93.16159834240749",45.05805708,-93.16159834,ACCRED,C,W,MN,Converge Worldwide,"4,483",18.1,9,17,283,153,"8,455"
Baptist Missionary Association Theological Seminary,"31.9782871604389, -95.2549801627819",31.97828716,-95.25498016,ACCRED,I,W,TX,Baptist Missionary Association of America,"1,601",2,4,6,28,14,"6,750"
M. Christopher White School of Divinity of Gardner-Webb University,"35.24872937875618, -81.6672571914992",35.24872938,-81.66725719,ACCRED,C,B,NC,Baptist State Convention of North Carolina,"3,178",16,6,7,101,66,"15,840"
McMaster Divinity College,"43.26172932302181, -79.9179340856181",43.26172932,-79.91793409,ACCRED,I,W,ON,Baptist Convention of Ontario and Quebec,"4,406",28.2,12,16,244,168,0
Carey Theological College,"49.271430369233514, -123.24894554670544",49.27143037,-123.2489455,ACCRED,I,N,BC,Canadian Baptists of Western Canada,"1,204",1.5,2,9,53,22,"9,315"
John Leland Center for Theological Studies,"38.88851166775897, -77.09519705882022",38.88851167,-77.09519706,ACCRED,I,B,VA,Baptist General Association of Virginia,"1,243",5.7,2,8,30,11,"13,750"
Ashland Theological Seminary,"40.860581042856204, -82.31207913360169",40.86058104,-82.31207913,ACCRED,U,W,OH,"Brethren Church (Ashland, Ohio)","4,632",10.6,13,13,221,136,"12,600"
Acadia Divinity College,"45.08749347043394, -64.36385561622059",45.08749347,-64.36385562,ACCRED,U,N,NS,Canadian Baptists of Atlantic Canada,"3,337",27.8,7,11,171,102,"11,409"
Canadian Reformed Theological Seminary,"43.2390069391611, -79.9072340739762",43.23900694,-79.90723407,ACCRED,I,W,ON,Canadian Reformed Churches,"2,095",0,5,5,30,39,"3,500"
BSK Theological Seminary,"37.98492771022854, -84.52585404536406",37.98492771,-84.52585405,ACCRED,I,B,KY,Cooperative Baptist Fellowship,"1,290",2.1,5,7,61,34,"6,244"
Campbell University Divinity School,"35.40918776037788, -78.7402011877933",35.40918776,-78.74020119,ACCRED,U,W,NC,Cooperative Baptist Fellowship,"1,569",26.1,6,8,103,71,"14,935"
James and Carolyn McAfee School of Theology of Mercer University,"33.87242424145453, -84.26292264922168",33.87242424,-84.26292265,ACCRED,U,W,GA,Cooperative Baptist Fellowship,"2,511",26.4,9,11,123,82,"13,950"
Emmanuel Christian Seminary at Milligan,"36.30186456532631, -82.29891023748735",36.30186457,-82.29891024,ACCRED,C,W,TN,Christian Churches and Churches of Christ,"2,985",14.4,9,12,107,64,"16,255"
Lincoln Seminary at Ozark Christian College,"37.1040564390988, -94.51072868348447",37.10405644,-94.51072868,ACCRED,C,N,MO,Christian Churches and Churches of Christ,785,1,0,9,132,50,"9,990"
"Pacific Christian College of Ministry and Biblical Studies of Hope International
University","33.8773837064189, -117.88517477250734",33.87738371,-117.8851748,ASSOC,U,M,CA,Christian Churches and Churches of Christ,404,0,5,7,41,30,"13,700"
Bethany Theological Seminary,"39.82608261463517, -84.91077663364544",39.82608261,-84.91077663,ACCRED,I,W,IN,Church of the Brethren,"4,058",62.2,8,10,82,40,"12,000"
Ambrose Seminary of Ambrose University,"51.03395745183289, -114.19347698910389",51.03395745,-114.193477,ACCRED,C,W,AB,Christian and Missionary Alliance,"4,653",0,11,15,205,132,"16,598"
Crown College Graduate School of Ministry,"44.88520824853487, -93.74279669718729",44.88520825,-93.7427967,ACCRED,C,M,MN,Christian and Missionary Alliance,644,0,1,17,122,58,"11,740"
Canadian Baptist Theological Seminary,"51.20689103284452, -114.4838962410585",51.20689103,-114.4838962,ACCRED,C,W,AB,Canadian National Baptist Convention,"2,673",8.6,5,6,45,27,"11,503"
Calvin Theological Seminary,"42.927913736522875, -85.58630202611171",42.92791374,-85.58630203,ACCRED,I,W,MI,Christian Reformed Church,"12,199",61.3,14,17,379,163,"18,210"
Trinity Evangelical Divinity School of Trinity International University,"42.196504783956314, -87.87988161635104",42.19650478,-87.87988162,ACCRED,U,W,IL,Evangelical Free Church of America,"17,680",17,25,42,813,402,"17,315"
Logos Evangelical Seminary,"34.05079353032937, -118.0682296224963",34.05079353,-118.0682296,ACCRED,I,A,CA,Evangelical Formosan Church,"5,278",12.8,12,14,221,131,"11,020"
Grace Theological Seminary,"41.225697532591504, -85.8176423317361",41.22569753,-85.81764233,ACCRED,C,N,IN,Fellowship of Grace Brethren Churches,"1,246",2.6,7,31,273,138,"11,750"
Heritage Theological Seminary,"43.417092409296416, -80.3227786874611",43.41709241,-80.32277869,ACCRED,C,W,ON,Fellowship of Evangelical Baptist Churches in Canada,"5,020",2.4,3,4,170,69,"11,700"
Northwest Seminary,"49.140150376772866, -122.59672523136923",49.14015038,-122.5967252,ACCRED,I,N,BC,Fellowship of Evangelical Baptist Churches in Canada,"2,524",3,3,3,132,85,"8,401"
Seattle Pacific Seminary,"47.64909553276578, -122.36221423144218",47.64909553,-122.3622142,ACCRED,U,N,WA,Free Methodist Church,"1,325",0,1,1,62,31,"21,570"
Life Pacific University Seminary,"34.09777565749724, -117.83014694736346",34.09777566,-117.8301469,ASSOC,U,,CA,Foursquare Gospel Church,615,0,2,8,28,27,"14,425"
Shaw University Divinity School,"35.7702890976896, -78.63923822031515",35.7702891,-78.63923822,ACCRED,U,B,NC,General Baptist State Convention of North Carolina,661,0,3,9,65,43,"13,494"
International Reformed University and Seminary,"34.0720277472692, -118.29216168969305",34.07202775,-118.2921617,ASSOC,U,A,CA,General Assembly of World Presbyterian Church,663,0,0,4,64,65,"4,220"
Chapman Seminary of Oakland City University,"38.33832214325225, -87.3526915146641",38.33832214,-87.35269151,ACCRED,U,W,IN,General Association of General Baptists,520,0.5,1,2,3,2,"8,250"
Puritan Reformed Theological Seminary,"42.98582417761398, -85.59668895679478",42.98582418,-85.59668896,ACCRED,I,W,MI,Heritage Reformed Congregations (USA and Canada),"6,098",2.9,11,12,501,195,"7,900"
Central Baptist Theological Seminary of Minneapolis,"44.988435679438076, -93.42729212416826",44.98843568,-93.42729212,ACCRED,I,W,MN,Independent Baptist,"2,278",4.5,2,5,96,41,"9,370"
Tyndale Seminary of Tyndale University,"43.79725359920345, -79.39244243717218",43.7972536,-79.39244244,ACCRED,C,W,ON,Inter/Multidenominational,"23,166",0,20,45,873,510,"40,824"
Union Theological Seminary,"40.811371025366334, -73.96188774894657",40.81137103,-73.96188775,ACCRED,I,W,NY,Inter/Multidenominational,"38,265",114.7,20,33,234,219,"31,472"
Vancouver School of Theology,"49.27030886719362, -123.25104381601993",49.27030887,-123.2510438,ACCRED,I,N,BC,Inter/Multidenominational,"4,994",0,6,9,196,97,"9,500"
Wake Forest University School of Divinity,"36.13513235317022, -80.2789288031083",36.13513235,-80.2789288,ACCRED,U,W,NC,Inter/Multidenominational,"6,994",26.6,11,11,71,63,"21,600"
Wesley Biblical Seminary,"32.39993808052516, -90.11140338975295",32.39993808,-90.11140339,ACCRED,I,W,MS,Inter/Multidenominational,"2,710",4.4,5,11,171,85,"15,450"
